date,dns,count
1/1/2023,61medya.com,6
1/1/2023,aa.com.tr,14
1/1/2023,abcgazetesi.com,2
1/1/2023,afyonkenthaber.com,1
1/1/2023,ahaber.com.tr,70
1/1/2023,ajansmanisa.com,13
1/1/2023,ajansspor.com,14
1/1/2023,akdeniztelgraf.com,3
1/1/2023,akilligundem.com,13
1/1/2023,aksam.com.tr,55
1/1/2023,al-ain.com,1
1/1/2023,ankahaber.net,1
1/1/2023,aspor.com.tr,42
1/1/2023,avazturk.com,4
1/1/2023,aydinlik.com.tr,3
1/1/2023,bafra55.net,2
1/1/2023,basakgazetesi.com,1
1/1/2023,batmansonsoz.net,1
1/1/2023,bbc.com,2
1/1/2023,bbnhaber.com.tr,2
1/1/2023,bdturkey.com,1
1/1/2023,beyazgazete.com,12
1/1/2023,beykozguncel.com,1
1/1/2023,bg-turk.com,1
1/1/2023,bgrt.com.tr,1
1/1/2023,bianet.org,1
1/1/2023,birgun.net,12
1/1/2023,bloomberght.com,1
1/1/2023,bodrumgundem.com,2
1/1/2023,bomba32.com,1
1/1/2023,bsha.com.tr,1
1/1/2023,bursa.bel.tr,2
1/1/2023,bursa.com,5
1/1/2023,bursadabugun.com,4
1/1/2023,bursahaber.com,2
1/1/2023,bursahakimiyet.com.tr,12
1/1/2023,buyuksivas.com,2
1/1/2023,ciddigazete.com,1
1/1/2023,cinemadran.com,1
1/1/2023,cnnturk.com,49
1/1/2023,cumhuriyet.com.tr,56
1/1/2023,dha.com.tr,5
1/1/2023,diken.com.tr,23
1/1/2023,diyadinnet.com,2
1/1/2023,diyanethaber.com.tr,2
1/1/2023,diyarbakir.bel.tr,2
1/1/2023,diziler.com,18
1/1/2023,dogruhaber.com.tr,2
1/1/2023,dogrulukpayi.com,1
1/1/2023,donanimhaber.com,2
1/1/2023,dunya.com,1
1/1/2023,dunyabulteni.net,1
1/1/2023,edirnejethaber.com,1
1/1/2023,egedeizmir.com,1
1/1/2023,egedesonsoz.com,1
1/1/2023,ekohaber.com.tr,1
1/1/2023,eksisozluk.com,1
1/1/2023,elbistaninsesi.com,1
1/1/2023,ensonhaber.com,61
1/1/2023,erzincanmedya.com,3
1/1/2023,erzurumgazetesi.com.tr,1
1/1/2023,eskisehir.net,1
1/1/2023,euronews.com,2
1/1/2023,evrensel.net,3
1/1/2023,f5haber.com,9
1/1/2023,fanatik.com.tr,1
1/1/2023,fenerbahce.org,2
1/1/2023,finans365.com,1
1/1/2023,finansgundem.com,3
1/1/2023,fotomac.com.tr,9
1/1/2023,gazeteciler.com,5
1/1/2023,gazeteduvar.com.tr,36
1/1/2023,gazeteilksayfa.com,1
1/1/2023,gazetekars.com,2
1/1/2023,gazeteoksijen.com,9
1/1/2023,gazeteoku.com,2
1/1/2023,gazetevatan.com,11
1/1/2023,gaziantepgunes.com,1
1/1/2023,gaziantepinhabercisi.com,6
1/1/2023,gemlikgundemgazetesi.com,2
1/1/2023,gercekgundem.com,4
1/1/2023,gercekizmir.com,1
1/1/2023,gidahatti.com,5
1/1/2023,goal.com,3
1/1/2023,gozlemgazetesi.com,1
1/1/2023,gunes.com,14
1/1/2023,gunestv.com,2
1/1/2023,guneydoguguncel.com,1
1/1/2023,gunhaber.com.tr,1
1/1/2023,guvengazetesi.com.tr,2
1/1/2023,gzt.com,1
1/1/2023,haber16.com,3
1/1/2023,haber3.com,3
1/1/2023,haber46.com.tr,12
1/1/2023,haber7.com,55
1/1/2023,haberdairesi.com,1
1/1/2023,habereko.com,1
1/1/2023,habererk.com,3
1/1/2023,haberglobal.com.tr,14
1/1/2023,haberhurriyeti.com,2
1/1/2023,haberinadresi.com,2
1/1/2023,haberizlenim.com,7
1/1/2023,haberler.com,140
1/1/2023,haberlerankara.com,26
1/1/2023,habernediyor.com,1
1/1/2023,haberturk.com,177
1/1/2023,habervakti.com,1
1/1/2023,halkinsesi.com.tr,1
1/1/2023,halktv.com.tr,15
1/1/2023,hkp.org.tr,1
1/1/2023,hurriyet.com.tr,153
1/1/2023,iha.com.tr,33
1/1/2023,ilerigazetesi.com.tr,2
1/1/2023,imaret.com.tr,3
1/1/2023,inegolonline.com,1
1/1/2023,internethaber.com,7
1/1/2023,iskenderun.org,1
1/1/2023,kamu3.com,2
1/1/2023,kamubulteni.com,1
1/1/2023,kamugundemi.com,2
1/1/2023,kanald.com.tr,5
1/1/2023,kapadokyahaber.com.tr,2
1/1/2023,karadenizgazete.com.tr,3
1/1/2023,karamandan.com,2
1/1/2023,karamanhaber.com,1
1/1/2023,karar.com,26
1/1/2023,karsmanset.com,1
1/1/2023,kibrishaberci.com,3
1/1/2023,kibrispostasi.com,1
1/1/2023,kocaelikoz.com,1
1/1/2023,konhaber.com,8
1/1/2023,korfezgazete.com,2
1/1/2023,kurdistan24.net,3
1/1/2023,manisakulishaber.com,2
1/1/2023,marmaragazetesi.com,1
1/1/2023,medyaege.com.tr,1
1/1/2023,medyafaresi.com,7
1/1/2023,medyagazete.com,1
1/1/2023,medyatava.com,5
1/1/2023,memurlar.net,20
1/1/2023,milligazete.com.tr,1
1/1/2023,milliyet.com.tr,174
1/1/2023,motor1.com,1
1/1/2023,msn.com,31
1/1/2023,muftulukhaberler.com,2
1/1/2023,mynet.com,72
1/1/2023,netgaste.com,1
1/1/2023,nevsehirkenthaber.com,2
1/1/2023,normhaber.com,1
1/1/2023,ntv.com.tr,73
1/1/2023,ntvspor.net,3
1/1/2023,odatv4.com,7
1/1/2023,ogretmenlericin.com,2
1/1/2023,olay53.com,6
1/1/2023,oncevatan.com.tr,1
1/1/2023,onedio.com,38
1/1/2023,ordugazete.com,2
1/1/2023,ozgurdersim.com,5
1/1/2023,palinfo.com,3
1/1/2023,patronlardunyasi.com,5
1/1/2023,politikyol.com,1
1/1/2023,posta.com.tr,18
1/1/2023,pusulagazetesi.com.tr,5
1/1/2023,pusulahaber.com.tr,1
1/1/2023,qha.com.tr,1
1/1/2023,rayhaber.com,1
1/1/2023,rudaw.net,6
1/1/2023,sabah.com.tr,149
1/1/2023,saglikaktuel.com,1
1/1/2023,sakaryagazetesi.com.tr,1
1/1/2023,samanyoluhaber.com,2
1/1/2023,samsungazetesi.com,1
1/1/2023,sanathaber.net,21
1/1/2023,sehrivangazetesi.com,2
1/1/2023,shiftdelete.net,2
1/1/2023,showtv.com.tr,1
1/1/2023,sol.org.tr,6
1/1/2023,son32.com,1
1/1/2023,sondakika.com,110
1/1/2023,sozcu.com.tr,62
1/1/2023,sporundibi.com,1
1/1/2023,sporx.com,11
1/1/2023,star.com.tr,9
1/1/2023,t24.com.tr,13
1/1/2023,takvim.com.tr,69
1/1/2023,tasova.net,2
1/1/2023,tele1.com.tr,4
1/1/2023,televizyongazetesi.com,21
1/1/2023,tgrthaber.com.tr,9
1/1/2023,torbaliguncel.com,1
1/1/2023,trthaber.com,5
1/1/2023,trtspor.com.tr,6
1/1/2023,tum-haberler.com,1
1/1/2023,turizmgunlugu.com,3
1/1/2023,turkiyegazetesi.com.tr,4
1/1/2023,turkiyeturizm.com,1
1/1/2023,turkrus.com,2
1/1/2023,turktime.com,3
1/1/2023,tv100.com,17
1/1/2023,twitter.com,2
1/1/2023,ulusal.com.tr,2
1/1/2023,urfadasin.com,3
1/1/2023,urfadegisim.com,3
1/1/2023,urfanatik.com,4
1/1/2023,urfastar.com,3
1/1/2023,vandahaber.com,9
1/1/2023,vanpostasigazetesi.com,7
1/1/2023,veryansintv.com,1
1/1/2023,vitrinhaber.com,9
1/1/2023,yasemin.com,7
