date,category,total_counts
2023-01-02,İktidar,3343
2023-01-09,İktidar,8773
2023-01-16,İktidar,10152
2023-01-23,İktidar,9476
2023-01-30,İktidar,9803
2023-02-06,İktidar,8871
2023-02-13,İktidar,9917
2023-02-20,İktidar,9261
2023-02-27,İktidar,9091
2023-03-06,İktidar,8371
2023-03-13,İktidar,8975
2023-03-20,İktidar,8859
2023-03-27,İktidar,9308
2023-04-03,İktidar,8462
2023-04-10,İktidar,7670
2023-04-17,İktidar,9219
2023-04-24,İktidar,8041
2023-05-01,İktidar,8753
2023-05-08,İktidar,8609
2023-05-15,İktidar,8090
2023-05-22,İktidar,8975
2023-05-29,İktidar,9995
2023-06-05,İktidar,9239
2023-06-12,İktidar,10086
2023-06-19,İktidar,10292
2023-06-26,İktidar,10245
2023-07-03,İktidar,10424
2023-07-10,İktidar,10092
2023-07-17,İktidar,10786
2023-07-24,İktidar,10663
2023-07-31,İktidar,10716
2023-08-07,İktidar,5378
2023-08-14,İktidar,9338
2023-08-21,İktidar,10997
2023-08-28,İktidar,10252
2023-09-04,İktidar,9404
2023-09-11,İktidar,11022
2023-09-18,İktidar,10034
2023-09-25,İktidar,9793
2023-10-02,İktidar,10250
2023-10-09,İktidar,8940
2023-10-16,İktidar,9703
2023-10-23,İktidar,9132
2023-10-30,İktidar,8591
2023-11-06,İktidar,8525
2023-11-13,İktidar,8726
2023-11-20,İktidar,9754
2023-11-27,İktidar,9827
2023-12-04,İktidar,9544
2023-12-11,İktidar,10214
2023-12-18,İktidar,8083
2023-01-02,Bağımsız,830
2023-01-09,Bağımsız,2808
2023-01-16,Bağımsız,3361
2023-01-23,Bağımsız,3094
2023-01-30,Bağımsız,2848
2023-02-06,Bağımsız,2848
2023-02-13,Bağımsız,4658
2023-02-20,Bağımsız,3803
2023-02-27,Bağımsız,3781
2023-03-06,Bağımsız,3163
2023-03-13,Bağımsız,3526
2023-03-20,Bağımsız,3538
2023-03-27,Bağımsız,3771
2023-04-03,Bağımsız,3210
2023-04-10,Bağımsız,3127
2023-04-17,Bağımsız,2818
2023-04-24,Bağımsız,2688
2023-05-01,Bağımsız,3109
2023-05-08,Bağımsız,3209
2023-05-15,Bağımsız,3666
2023-05-22,Bağımsız,2929
2023-05-29,Bağımsız,3541
2023-06-05,Bağımsız,3077
2023-06-12,Bağımsız,3452
2023-06-19,Bağımsız,3414
2023-06-26,Bağımsız,2323
2023-07-03,Bağımsız,2382
2023-07-10,Bağımsız,2142
2023-07-17,Bağımsız,3211
2023-07-24,Bağımsız,3089
2023-07-31,Bağımsız,3251
2023-08-07,Bağımsız,2292
2023-08-14,Bağımsız,2629
2023-08-21,Bağımsız,2908
2023-08-28,Bağımsız,2835
2023-09-04,Bağımsız,2624
2023-09-11,Bağımsız,3777
2023-09-18,Bağımsız,3210
2023-09-25,Bağımsız,2672
2023-10-02,Bağımsız,3221
2023-10-09,Bağımsız,2463
2023-10-16,Bağımsız,2300
2023-10-23,Bağımsız,2216
2023-10-30,Bağımsız,2076
2023-11-06,Bağımsız,1889
2023-11-13,Bağımsız,1932
2023-11-20,Bağımsız,2593
2023-11-27,Bağımsız,2473
2023-12-04,Bağımsız,2295
2023-12-11,Bağımsız,2504
2023-12-18,Bağımsız,2258
