datetime,dns
2023-01-02,314
2023-01-09,475
2023-01-16,515
2023-01-23,523
2023-01-30,523
2023-02-06,522
2023-02-13,524
2023-02-20,511
2023-02-27,496
2023-03-06,496
2023-03-13,500
2023-03-20,547
2023-03-27,523
2023-04-03,518
2023-04-10,532
2023-04-17,525
2023-04-24,536
2023-05-01,526
2023-05-08,562
2023-05-15,522
2023-05-22,501
2023-05-29,535
2023-06-05,535
2023-06-12,524
2023-06-19,562
2023-06-26,537
2023-07-03,492
2023-07-10,477
2023-07-17,515
2023-07-24,509
2023-07-31,517
2023-08-07,508
2023-08-14,521
2023-08-21,514
2023-08-28,535
2023-09-04,475
2023-09-11,532
2023-09-18,506
2023-09-25,505
2023-10-02,522
2023-10-09,478
2023-10-16,427
2023-10-23,428
2023-10-30,419
2023-11-06,413
2023-11-13,416
2023-11-20,466
2023-11-27,484
2023-12-04,410
2023-12-11,470
2023-12-18,421
