date,counts
2023-01-01,772
2023-01-02,1582
2023-01-03,2125
2023-01-04,1802
2023-01-05,1846
2023-01-06,1890
2023-01-07,1873
2023-01-08,2763
2023-01-09,2418
2023-01-10,1860
2023-01-11,1595
2023-01-12,1786
2023-01-13,1898
2023-01-14,1642
2023-01-15,1360
2023-01-16,1622
2023-01-17,1601
2023-01-18,1837
2023-01-19,1808
2023-01-20,1528
2023-01-21,1463
2023-01-22,1445
2023-01-23,1586
2023-01-24,2062
2023-01-25,1551
2023-01-26,1230
2023-01-27,1466
2023-01-28,1396
2023-01-29,1316
2023-01-30,1579
2023-01-31,1633
2023-02-01,1834
2023-02-02,1698
2023-02-03,2115
2023-02-04,1752
2023-02-05,2026
2023-02-06,1055
2023-02-07,869
2023-02-08,981
2023-02-09,880
2023-02-10,1189
2023-02-11,599
2023-02-12,741
2023-02-13,1148
2023-02-14,843
2023-02-15,1198
2023-02-16,1674
2023-02-17,1272
2023-02-18,854
2023-02-19,654
2023-02-20,1152
2023-02-21,917
2023-02-22,1014
2023-02-23,1112
2023-02-24,1578
2023-02-25,1218
2023-02-26,1670
2023-02-27,1884
2023-02-28,1725
2023-03-01,1353
2023-03-02,1588
2023-03-03,1444
2023-03-04,1601
2023-03-05,1052
2023-03-06,1111
2023-03-07,1262
2023-03-08,1280
2023-03-09,1327
2023-03-10,1354
2023-03-11,1574
2023-03-12,1290
2023-03-13,1023
2023-03-14,1163
2023-03-15,1219
2023-03-16,1486
2023-03-17,1602
2023-03-18,1596
2023-03-19,1305
2023-03-20,1261
2023-03-21,1487
2023-03-22,1433
2023-03-23,1458
2023-03-24,1245
2023-03-25,1198
2023-03-26,883
2023-03-27,1210
2023-03-28,919
2023-03-29,1131
2023-03-30,1811
2023-03-31,1390
2023-04-01,1615
2023-04-02,1992
2023-04-03,2481
2023-04-04,1409
2023-04-05,2167
2023-04-06,1831
2023-04-07,1390
2023-04-08,1200
2023-04-09,1403
2023-04-10,1615
2023-04-11,1456
2023-04-12,1706
2023-04-13,1809
2023-04-14,2309
2023-04-15,2054
2023-04-16,1968
2023-04-17,2302
2023-04-18,2100
2023-04-19,2024
2023-04-20,2102
2023-04-21,1241
2023-04-22,1865
2023-04-23,2105
2023-04-24,2263
2023-04-25,1986
2023-04-26,1820
2023-04-27,2244
2023-04-28,2168
2023-04-29,2438
2023-04-30,3218
2023-05-01,2118
2023-05-02,2160
2023-05-03,2072
2023-05-04,1889
2023-05-05,1801
2023-05-06,1592
2023-05-07,1845
2023-05-08,1869
2023-05-09,1798
2023-05-10,1370
2023-05-11,1820
2023-05-12,1801
2023-05-13,1585
2023-05-14,930
2023-05-15,1288
2023-05-16,1915
2023-05-17,1690
2023-05-18,2343
2023-05-19,1783
2023-05-20,2136
2023-05-21,1394
2023-05-22,1619
2023-05-23,1974
2023-05-24,1872
2023-05-25,1865
2023-05-26,1516
2023-05-27,1272
2023-05-28,828
2023-05-29,1535
2023-05-30,2959
2023-05-31,2838
2023-06-01,1847
2023-06-02,2044
2023-06-03,2047
2023-06-04,3313
2023-06-05,2489
2023-06-06,2453
2023-06-07,2099
2023-06-08,1863
2023-06-09,1345
2023-06-10,1286
2023-06-11,1297
2023-06-12,1894
2023-06-13,1606
2023-06-14,1521
2023-06-15,1403
2023-06-16,1489
2023-06-17,1386
2023-06-18,909
2023-06-19,1400
2023-06-20,1456
2023-06-21,1639
2023-06-22,1574
2023-06-23,1420
2023-06-24,1172
2023-06-25,1005
2023-06-26,1225
2023-06-27,980
2023-06-28,1105
2023-06-29,1014
2023-06-30,931
2023-07-01,1039
2023-07-02,1029
2023-07-03,1347
2023-07-04,1457
2023-07-05,1460
2023-07-06,1431
2023-07-07,1345
2023-07-08,1320
2023-07-09,1136
2023-07-10,1192
2023-07-11,1334
2023-07-12,1407
2023-07-13,1367
2023-07-14,1545
2023-07-15,1402
2023-07-16,1448
2023-07-17,1736
2023-07-18,1819
2023-07-19,1493
2023-07-20,1992
2023-07-21,1471
2023-07-22,1291
2023-07-23,1362
2023-07-24,1870
2023-07-25,1654
2023-07-26,1956
2023-07-27,1526
2023-07-28,1429
2023-07-29,1196
2023-07-30,1065
2023-07-31,1559
2023-08-01,1561
2023-08-02,1623
2023-08-03,1358
2023-08-04,1451
2023-08-05,964
2023-08-06,920
2023-08-07,1591
2023-08-08,1393
2023-08-09,1831
2023-08-10,1767
2023-08-11,1571
2023-08-12,1676
2023-08-13,1472
2023-08-14,1755
2023-08-15,1668
2023-08-16,2079
2023-08-17,1972
2023-08-18,1897
2023-08-19,1805
2023-08-20,2096
2023-08-21,1806
2023-08-22,2120
2023-08-23,1896
2023-08-24,2144
2023-08-25,1460
2023-08-26,1598
2023-08-27,1682
2023-08-28,1553
2023-08-29,1580
2023-08-30,1846
2023-08-31,1980
2023-09-01,2122
2023-09-02,2053
2023-09-03,1880
2023-09-04,2507
2023-09-05,1979
2023-09-06,1726
2023-09-07,1861
2023-09-08,1683
2023-09-09,1300
2023-09-10,1150
2023-09-11,1485
2023-09-12,1486
2023-09-13,1768
2023-09-14,1675
2023-09-15,1777
2023-09-16,2090
2023-09-17,1932
2023-09-18,1710
2023-09-19,1438
2023-09-20,2846
2023-09-21,1818
2023-09-22,1706
2023-09-23,1520
2023-09-24,1550
2023-09-25,1842
2023-09-26,1882
2023-09-27,1430
2023-09-28,1870
2023-09-29,1386
2023-09-30,1814
2023-10-01,1710
2023-10-02,1686
2023-10-03,1722
2023-10-04,1891
2023-10-05,1919
2023-10-06,2044
2023-10-07,1535
2023-10-08,1435
2023-10-09,1101
2023-10-10,1178
2023-10-11,1597
2023-10-12,1551
2023-10-13,1050
2023-10-14,1127
2023-10-15,865
2023-10-16,1137
2023-10-17,1305
2023-10-18,1831
2023-10-19,1370
2023-10-20,1616
2023-10-21,2326
2023-10-22,1913
2023-10-23,1720
2023-10-24,1985
2023-10-25,1580
2023-10-26,1693
2023-10-27,1626
2023-10-28,1394
2023-10-29,1589
2023-10-30,1757
2023-10-31,1747
2023-11-01,1663
2023-11-02,1633
2023-11-03,2074
2023-11-04,2495
2023-11-05,752
2023-11-06,1942
2023-11-07,1588
2023-11-08,1531
2023-11-09,1949
2023-11-10,1978
2023-11-11,1736
2023-11-12,1764
2023-11-13,1432
2023-11-14,1395
2023-11-15,1281
2023-11-16,1252
2023-11-17,1282
2023-11-18,1106
2023-11-19,803
2023-11-20,1177
2023-11-21,1144
2023-11-22,1089
2023-11-23,1279
2023-11-24,1207
2023-11-25,1332
2023-11-26,1452
2023-11-27,1483
2023-11-28,1596
2023-11-29,2089
2023-11-30,1890
2023-12-01,1821
2023-12-02,1728
2023-12-03,2040
2023-12-04,2084
2023-12-05,2155
2023-12-06,2261
2023-12-07,2296
2023-12-08,3044
2023-12-09,3211
2023-12-10,2193
2023-12-11,2389
2023-12-12,1634
2023-12-13,1998
2023-12-14,2259
2023-12-15,1972
2023-12-16,1498
2023-12-17,1472
2023-12-18,2420
2023-12-19,2597
2023-12-20,2558
2023-12-21,2264
2023-12-22,2606
2023-12-23,2106
2023-12-24,3068
2023-12-25,2959
2023-12-26,3084
2023-12-27,1988
2023-12-28,2441
2023-12-29,3689
2023-12-30,3625
2023-12-31,1670
