date,category,question_marks
1/1/2023,1,325
1/1/2023,2,75
1/1/2023,3,176
1/2/2023,1,567
1/2/2023,2,101
1/2/2023,3,285
1/3/2023,1,683
1/3/2023,2,271
1/3/2023,3,319
1/4/2023,1,602
1/4/2023,2,208
1/4/2023,3,297
1/5/2023,1,627
1/5/2023,2,368
1/5/2023,3,279
1/6/2023,1,558
1/6/2023,2,163
1/6/2023,3,230
1/7/2023,1,340
1/7/2023,2,108
1/7/2023,3,224
1/8/2023,1,380
1/8/2023,2,119
1/8/2023,3,279
1/9/2023,1,665
1/9/2023,2,158
1/9/2023,3,263
1/10/2023,1,830
1/10/2023,2,153
1/10/2023,3,252
1/11/2023,1,762
1/11/2023,2,147
1/11/2023,3,256
1/12/2023,1,627
1/12/2023,2,316
1/12/2023,3,249
1/13/2023,1,687
1/13/2023,2,337
1/13/2023,3,311
1/14/2023,1,441
1/14/2023,2,124
1/14/2023,3,282
1/15/2023,1,378
1/15/2023,2,97
1/15/2023,3,240
1/16/2023,1,773
1/16/2023,2,148
1/16/2023,3,242
1/17/2023,1,680
1/17/2023,2,158
1/17/2023,3,272
1/18/2023,1,676
1/18/2023,2,252
1/18/2023,3,282
1/19/2023,1,719
1/19/2023,2,179
1/19/2023,3,278
1/20/2023,1,542
1/20/2023,2,143
1/20/2023,3,282
1/21/2023,1,322
1/21/2023,2,108
1/21/2023,3,266
1/22/2023,1,331
1/22/2023,2,114
1/22/2023,3,243
1/23/2023,1,657
1/23/2023,2,195
1/23/2023,3,311
1/24/2023,1,657
1/24/2023,2,159
1/24/2023,3,254
1/25/2023,1,701
1/25/2023,2,192
1/25/2023,3,258
1/26/2023,1,586
1/26/2023,2,139
1/26/2023,3,266
1/27/2023,1,531
1/27/2023,2,331
1/27/2023,3,283
1/28/2023,1,336
1/28/2023,2,131
1/28/2023,3,260
1/29/2023,1,276
1/29/2023,2,112
1/29/2023,3,248
1/30/2023,1,560
1/30/2023,2,166
1/30/2023,3,226
1/31/2023,1,536
1/31/2023,2,163
1/31/2023,3,258
2/1/2023,1,513
2/1/2023,2,134
2/1/2023,3,320
2/2/2023,1,417
2/2/2023,2,139
2/2/2023,3,241
2/3/2023,1,544
2/3/2023,2,397
2/3/2023,3,228
2/4/2023,1,409
2/4/2023,2,144
2/4/2023,3,259
2/5/2023,1,368
2/5/2023,2,109
2/5/2023,3,298
2/6/2023,1,690
2/6/2023,2,155
2/6/2023,3,295
2/7/2023,1,630
2/7/2023,2,204
2/7/2023,3,344
2/8/2023,1,544
2/8/2023,2,202
2/8/2023,3,312
2/9/2023,1,487
2/9/2023,2,202
2/9/2023,3,221
2/10/2023,1,507
2/10/2023,2,182
2/10/2023,3,242
2/11/2023,1,408
2/11/2023,2,143
2/11/2023,3,177
2/12/2023,1,449
2/12/2023,2,144
2/12/2023,3,213
2/13/2023,1,498
2/13/2023,2,216
2/13/2023,3,220
2/14/2023,1,500
2/14/2023,2,249
2/14/2023,3,242
2/15/2023,1,656
2/15/2023,2,263
2/15/2023,3,273
2/16/2023,1,437
2/16/2023,2,271
2/16/2023,3,263
2/17/2023,1,517
2/17/2023,2,331
2/17/2023,3,255
2/18/2023,1,333
2/18/2023,2,150
2/18/2023,3,192
2/19/2023,1,376
2/19/2023,2,196
2/19/2023,3,169
2/20/2023,1,558
2/20/2023,2,240
2/20/2023,3,272
2/21/2023,1,527
2/21/2023,2,287
2/21/2023,3,207
2/22/2023,1,406
2/22/2023,2,236
2/22/2023,3,241
2/23/2023,1,613
2/23/2023,2,208
2/23/2023,3,280
2/24/2023,1,659
2/24/2023,2,311
2/24/2023,3,234
2/25/2023,1,347
2/25/2023,2,190
2/25/2023,3,242
2/26/2023,1,304
2/26/2023,2,121
2/26/2023,3,235
2/27/2023,1,594
2/27/2023,2,227
2/27/2023,3,209
2/28/2023,1,613
2/28/2023,2,239
2/28/2023,3,218
3/1/2023,1,587
3/1/2023,2,274
3/1/2023,3,280
3/2/2023,1,595
3/2/2023,2,265
3/2/2023,3,214
3/3/2023,1,539
3/3/2023,2,239
3/3/2023,3,286
3/4/2023,1,318
3/4/2023,2,158
3/4/2023,3,287
3/5/2023,1,299
3/5/2023,2,177
3/5/2023,3,230
3/6/2023,1,537
3/6/2023,2,311
3/6/2023,3,265
3/7/2023,1,539
3/7/2023,2,272
3/7/2023,3,204
3/8/2023,1,543
3/8/2023,2,214
3/8/2023,3,232
3/9/2023,1,482
3/9/2023,2,252
3/9/2023,3,314
3/10/2023,1,465
3/10/2023,2,231
3/10/2023,3,245
3/11/2023,1,291
3/11/2023,2,177
3/11/2023,3,221
3/12/2023,1,282
3/12/2023,2,141
3/12/2023,3,231
3/13/2023,1,482
3/13/2023,2,264
3/13/2023,3,263
3/14/2023,1,499
3/14/2023,2,284
3/14/2023,3,212
3/15/2023,1,552
3/15/2023,2,269
3/15/2023,3,309
3/16/2023,1,487
3/16/2023,2,241
3/16/2023,3,297
3/17/2023,1,440
3/17/2023,2,225
3/17/2023,3,278
