Bigram,Frequency
"('belli', 'oldu')",283
"('hayatını', 'kaybetti')",230
"('ortaya', 'çıktı')",130
"('ne', 'zaman')",117
"('gözaltına', 'alındı')",111
"('kişi', 'yaralandı')",108
"('Son', 'dakika')",90
"('Prof.', 'Dr.')",86
"('büyüklüğünde', 'deprem')",84
"('İçerik', 'Arşivi')",79
"('kişi', 'öldü')",77
"('Özgür', 'Özel')",76
"('İYİ', 'Parti')",73
"('devam', 'ediyor')",73
"('istifa', 'etti')",72
"('Günlük', 'Burç')",67
"('Burç', 'Yorumları')",67
"('Burcu', 'Yorumu')",65
"('ele', 'geçirildi')",64
"('ne', 'kadar')",62
"('silahlı', 'saldırı')",59
"('1', 'ölü')",59
"('2', 'kişi')",56
"('hapis', 'cezası')",53
"('yıl', 'sonra')",53
"('Merkez', 'Bankası')",53
"('Can', 'Atalay')",53
"('yaşamını', 'yitirdi')",51
"('Son', 'Dakika')",51
"('en', 'çok')",51
"('sona', 'erdi')",50
"('ilk', 'kez')",49
"('Deprem', 'bölgesinde')",47
"('Resmi', 'Gazetede')",46
"('ölü', 'bulundu')",45
"('Genel', 'Başkanı')",45
"('ziyaret', 'etti')",43
"('orman', 'yangını')",43
"('İYİ', 'Partili')",42
"('Sinan', 'Ateş')",42
"('3', 'kişi')",42
"('kişi', 'tutuklandı')",42
"('İYİ', 'Partiden')",42
"('Millet', 'İttifakı')",41
"('Süper', 'Ligde')",41
"('iptal', 'edildi')",39
"('bir', 'araya')",39
"('Muharrem', 'İnce')",39
"('en', 'büyük')",38
"('Ruşen', 'Çakır')",37
"('saat', 'sonra')",36
"('suç', 'duyurusu')",36
"('dikkat', 'çeken')",36
"('en', 'az')",36
"('2', 'bin')",35
"('Kemal', 'Kılıçdaroğlu')",35
"('Akşam', 'Postası')",35
"('Çok', 'sayıda')",35
"('yükselişle', 'başladı')",35
"('En', 'az')",35
"('deprem', 'bölgesinde')",35
"('düzensiz', 'göçmen')",35
"('ile', 'ilgili')",34
"('ile', 'görüştü')",34
"('son', 'durum')",34
"('Belediye', 'Başkanı')",33
"('Meral', 'Akşener')",33
"('kişi', 'hayatını')",33
"('kötü', 'haber')",33
"('asgari', 'ücret')",33
"('Yeşil', 'Sol')",33
"('Mansur', 'Yavaş')",32
"('1', 'kişi')",32
"('son', 'yolculuğuna')",31
"('yıl', 'hapis')",30
"('ilişkin', 'açıklama')",30
"('sevk', 'edildi')",30
"('5', 'bin')",30
"('kaç', 'yaşında')",30
"('kişi', 'gözaltına')",30
"('yolculuğuna', 'uğurlandı')",29
"('Ölü', 've')",29
"('ilgili', 'açıklama')",29
"('CHP', 'Genel')",29
"('için', 'yeni')",29
"('Dışişleri', 'Bakanı')",29
"('tepki', 'gösterdi')",29
"('14', 'Mayıs')",29
"('yaralı', 'var')",29
"('tahliye', 'edildi')",29
"('Borsa', 'güne')",29
"('çıkan', 'yangın')",28
"('İstanbul', 'İl')",28
"('Ekrem', 'İmamoğlu')",28
"('Türkiye', 've')",28
"('yaralılar', 'var')",27
"('isyan', 'etti')",27
"('hakkında', 'suç')",27
"('ya', 'da')",27
"('iptal', 'etti')",27
