Bigram,Frequency
"('ne', 'zaman')",297
"('hangi', 'kanalda')",227
"('maçı', 'ne')",192
"('saat', 'kaçta')",188
"('belli', 'oldu')",173
"('kaçta', 've')",171
"('kanalda', 'canlı')",171
"('canlı', 'yayınlanacak')",171
"('ve', 'hangi')",170
"('zaman', 'saat')",142
"('hayatını', 'kaybetti')",135
"('Günlük', 'Burç')",115
"('MAÇ', 'SONUCU')",107
"('SONUCU', 'ÖZET')",102
"('Burcu', 'Günlük')",102
"('Burç', 'Yorumu')",96
"('Fragmanı', 'Yayında')",92
"('Cumhurbaşkanı', 'Erdoğan')",90
"('CANLI', 'İZLE')",84
"('TRANSFER', 'HABERİ')",73
"('ne', 'kadar')",66
"('büyüklüğünde', 'deprem')",64
"('ele', 'geçirildi')",56
"('son', 'bölüm')",55
"('ortaya', 'çıktı')",53
"('TRANSFER', 'HABERLERİ')",52
"('Bölüm', '1')",52
"('kişi', 'yaralandı')",48
"('Saat', 'kaçta')",45
"('gözaltına', 'alındı')",45
"('Bölüm', '2')",45
"('devam', 'ediyor')",44
"('AK', 'Parti')",44
"('1', 'Fragmanı')",44
"('2', 'Fragmanı')",42
"('FULL', 'İZLE')",41
"('son', 'durum')",41
"('SON', 'DAKİKA')",41
"('Sayısal', 'Loto')",41
"('Yeşil', 'Sol')",41
"('maçı', 'saat')",39
"('zaman', 'Saat')",38
"('Ne', 'Kadar')",38
"('Türkiye', 've')",36
"('bölüm', 'izle')",34
"('1', 'ölü')",34
"('maçı', 'hangi')",33
"('Resmi', 'Gazetede')",33
"('zaman', 'gelecek')",32
"('GALATASARAY', 'HABERLERİ')",32
"('BÖLÜM', 'İZLE')",31
"('kaç', 'TL')",31
"('Son', 'Bölüm')",31
"('yıl', 'sonra')",30
"('En', 'İyi')",30
"('kişi', 'tutuklandı')",29
"('Bölüm', 'Fragmanı')",29
"('En', 'Çok')",29
"('kişi', 'öldü')",29
"('bir', 'araya')",28
"('en', 'büyük')",28
"('Adana', 'Demirspor')",28
"('Nasıl', 'Geçecek')",28
"('Genel', 'Başkanı')",28
"('ve', 'dünyadan')",28
"('dünyadan', 'haberler')",28
"('haberler', 'gelişmeler')",28
"('sona', 'erdi')",27
"('yeni', 'bölüm')",27
"('Süper', 'Lig')",27
"('MAÇI', 'CANLI')",27
"('Çılgın', 'Sayısal')",27
"('1', 'kişi')",27
"('2', 'yaralı')",27
"('BÖLÜM', 'FULL')",26
"('Ortaya', 'Çıktı')",26
"('2', 'bin')",26
"('Özgür', 'Özel')",26
"('can', 'kaybı')",26
"('altın', 'kaç')",25
"('kişi', 'hayatını')",25
"('milyon', 'dolarlık')",24
"('AK', 'Partili')",24
"('Sinan', 'Ateş')",24
"('bin', 'lira')",24
"('yeni', 'bir')",23
"('CANLI', 'YAYIN')",23
"('istifa', 'etti')",23
"('Samsung', 'Galaxy')",22
"('Tek', 'Parça')",22
"('Gündem', 'Oldu')",22
"('Ne', 'Zaman')",22
"('Cumhurbaşkanı', 'Erdoğandan')",22
"('Dışişleri', 'Bakanı')",22
"('etkisiz', 'hale')",22
"('Deprem', 'bölgesinde')",22
"('Bölüm', 'Tek')",21
"('Neler', 'Bekliyor')",21
"('Günün', 'Nasıl')",21
"('Bilim', 'insanları')",21
