Bigram,Frequency
"('ne', 'zaman')",534
"('YÖNETİMİ', 'A.Ş.')",320
"('PORTFÖY', 'YÖNETİMİ')",319
"('CNNTürk', 'TV')",302
"('Son', 'dakika')",243
"('belli', 'oldu')",230
"('Cumhurbaşkanı', 'Erdoğan')",219
"('BORSA', 'İSTANBUL')",165
"('saat', 'kaçta')",155
"('ne', 'kadar')",139
"('SON', 'DAKİKA')",139
"('İSTANBUL', 'BISTECH')",136
"('BISTECH', 'DEVRE')",136
"('DEVRE', 'KESİCİ')",136
"('KESİCİ', 'UYGULAMASI')",136
"('UYGULAMASI', 'İşlem')",136
"('İşlem', 'Sırası')",136
"('Sırası', 'Durdurma')",136
"('Durdurma', 'Bildirimi')",136
"('hayatını', 'kaybetti')",127
"('İlişkin', 'Bildirim')",121
"('TİCARET', 'A.Ş.')",113
"('AK', 'Parti')",109
"('ortaya', 'çıktı')",108
"('A.Ş.', 'Fon')",107
"('devam', 'ediyor')",104
"('Özel', 'Durum')",98
"('Durum', 'Açıklaması')",98
"('Açıklaması', 'Genel')",98
"('Ocak', '2023')",97
"('A.Ş.', 'Özel')",96
"('ele', 'geçirildi')",95
"('kişi', 'yaralandı')",95
"('hangi', 'kanalda')",93
"('1', 'ölü')",91
"('Başkan', 'Erdoğan')",87
"('VE', 'TİCARET')",85
"('zaman', 'saat')",81
"('Mart', '2023')",81
"('Hava', 'Durumu')",79
"('SANAYİ', 'VE')",78
"('büyüklüğünde', 'deprem')",77
"('Alım', 'Satım')",75
"('Fon', 'Sürekli')",74
"('Sürekli', 'Bilgilendirme')",74
"('Bilgilendirme', 'Formu')",74
"('İşlemlerine', 'İlişkin')",74
"('Cumhurbaşkanı', 'Erdoğandan')",71
"('maçı', 'ne')",69
"('A.Ş.', 'Genel')",68
"('orman', 'yangını')",67
"('ile', 'görüştü')",66
"('kişi', 'öldü')",65
"('YATIRIM', 'ORTAKLIĞI')",64
"('ORTAKLIĞI', 'A.Ş.')",64
"('2', 'yaralı')",64
"('TL', 'FNC-NEWS')",62
"('etkisiz', 'hale')",62
"('son', 'durum')",60
"('son', 'dakika')",60
"('Dışişleri', 'Bakanı')",60
"('Mayıs', '2023')",59
"('Şubat', '2023')",57
"('2', 'kişi')",56
"('A.Ş.', 'Portföy')",55
"('Portföy', 'Dağılım')",55
"('Dağılım', 'Raporu')",55
"('MENKUL', 'DEĞERLER')",54
"('DEĞERLER', 'A.Ş.')",54
"('2023', 'Cuma')",54
"('depremzedeler', 'için')",54
"('Genel', 'Başkanı')",53
"('açıklandı', 'mı')",53
"('ziyaret', 'etti')",51
"('Resmi', 'Gazetede')",51
"('ALIM', 'İHALESİNDE')",51
"('gözaltına', 'alındı')",51
"('terörist', 'etkisiz')",51
"('bir', 'araya')",51
"('تركيا', '..')",51
"('Süper', 'Lig')",50
"('düzensiz', 'göçmen')",50
"('EMEKLİLİK', 'A.Ş.')",50
"('zaman', 'açıklanacak')",50
"('VADELİ', 'DÖVİZ')",50
"('DÖVİZ', 'KARŞILIĞI')",50
"('kişi', 'yakalandı')",49
"('Bilgi', 'Formu')",49
"('A.Ş.', 'İzahname')",49
"('FNC', 'NEWS')",49
"('3', 'yaralı')",49
"('2023', 'Salı')",49
"('kaç', 'yaşında')",48
"('var', 'mı')",48
"('...', '``')",47
"('1', 'yaralı')",46
"('Fon', 'Toplam')",46
"('nasıl', 'yapılır')",46
"('KAMUYU', 'AYDINLATMA')",46
"('AYDINLATMA', 'PLATFORMU')",46
