domain,date,title,emotion
adanahaber.net,2023-01-02,Başkan Erdem’in dost eli 29 bin aileye uzandı,
adanahaber.net,2023-01-02,Türkiye’nin en uzun 4. köprüsünde son çeyreğe girildi,
adanahaber.net,2023-01-03,"Sağlık Sen'den hükûmete uyarı: ""Kadroya geçişlerde mağdur yaratılmasın!""",
adanahaber.net,2023-01-03,Trilyoner tefecilere operasyon,anger
adanahaber.net,2023-01-05,Çocuk parkında cinayet,fear
adanahaber.net,2023-01-05,"AOSB firmaları, üretim gücüne inanıp daha güçlü Türkiye hedefine omuz veriyor",hope
adanahaber.net,2023-01-06,Adana İdmanyurdu'lu kızların malzemeleri çalındı,anger
adanahaber.net,2023-01-06,Kadın memurla uygunsuz fotoğrafları çıkan gümrük müdürü suskunluğunu bozdu,anger
adanahaber.net,2023-01-08,Karalar: ”Halkın parasını en doğru şekilde kullanıyoruz”,hope
adanahaber.net,2023-01-08,SEYTİM yenilikçi fikir sahiplerini bekliyor,hope
adanahaber.net,2023-01-09,Adana Demirspor Başakşehir maçına hazır,hope
adanahaber.net,2023-01-09,Sabıkalı hırsız yürüyerek gitmemek için motosiklet çalmış,anger
adanahaber.net,2023-01-10,Adana’da 12 kahvehaneye 178 bin 420 lira kumar cezası,anger
adanahaber.net,2023-01-10,TOKİ Adana kura çekimi sonuçları,
adanahaber.net,2023-01-11,Liseli genci katil zanlıları tutuklandı,anger
adanahaber.net,2023-01-11,2 yaşındaki çocuğu yangından 11 yaşındaki abisi kurtardı,hope
adanahaber.net,2023-01-13,Otizmli şampiyonun polis olma hayali gerçek oldu,hope
adanahaber.net,2023-01-13,FETÖ’nün sözde öğretmenlerine 6 yıl 3’er ay hapis,
adanahaber.net,2023-01-14,“Kozan Huzur Güven” uygulamasında ceza yağdı: Kuru sıkı tabanca..,
adanahaber.net,2023-01-14,Ulaşıma kapanan Adana - Ankara otoyolu tekrar açıldı.,
adanahaber.net,2023-01-15,Kozan'ı dev yarasalar sardı: Korkutan görüntüler!,
adanahaber.net,2023-01-16,Acil Şifalar!,
adanahaber.net,2023-01-16,Sinan Ateş cinayeti ve Pozantı Belediye Başkanı Mustafa Çay,
adanahaber.net,2023-01-17,Adana şalvarına tescil belgesi,
adanahaber.net,2023-01-17,Mersin’deki otobüs kazası.. Şehit ateşi Adana’ya düştü,sadness
adanahaber.net,2023-01-18,Cihaz arızası perişan etti! Valilik ve İl Sağlık Müdürlüğü..,sadness
adanahaber.net,2023-01-18,Adana’da girişimci kadınlara danışmanlık hizmeti,
adanahaber.net,2023-01-19,Adana’da 132 yasaklı ırk köpeğe el konuldu,anger
adanahaber.net,2023-01-19,BELEDİYEDEN ÜCRETSİZ PSİKOLOJİK DANIŞMANLIK DESTEĞİ,hope
adanahaber.net,2023-01-20,"Sosyal medya tuzağı: Dövüldü, bıçaklandı, gasp edildi",fear
adanahaber.net,2023-01-20,"BEKÇİLERİN GÖRÜNTÜSÜ YETTİ, ATIP KAÇTILAR",anger
adanahaber.net,2023-01-21,'Villada iklimlendirme sistemli’ uyuşturucu üretimi,disgust
adanahaber.net,2023-01-21,Şehit Eren Öztürk son yolculuğuna uğurlandı,
adanahaber.net,2023-01-22,FACİA GİBİ KAZA! OTOMOBİL POZANTI ÇAKIT SUYUNA UÇTU,fear
adanahaber.net,2023-01-22,"Pozantı' da otomobil Çakıt Çayı’na uçtu: 1 ölü, 2 yaralı",sadness
adanahaber.net,2023-01-24,Karslıoğlu: “İş birliği içinde önemli hizmetler veriyoruz”,
adanahaber.net,2023-01-24,"Okçuluk sporuna ilgi arttı, gençler hedeflerini 12’den vuruyor",happiness
